player_id,name,city,state,country
1,Johnny Moss,Dallas,TX,USA
2,Amarillo Slim Preston,Amarillo,TX,USA
3,Puggy Pearson,Las Vegas,NV,USA
4,Crandall Addington,San Antonio,TX,USA
5,Bryan Roberts,Houston,TX,USA
6,Doyle Brunson,Las Vegas,NV,USA
7,Milo Jacobson,Unknown,Unknown,Unknown
8,Bobby Baldwin,Las Vegas,NV,USA
9,Louis Hunsaker,Austin,TX,USA
10,Buck Buchanan,Unknown,Unknown,Unknown
11,Jesse Alto,Austin,TX,USA
12,Hal Fowler,Unknown,CA,USA
13,Bobby Hoff,Unknown,Unknown,USA
14,George Huber,Corpus Christi,TX,USA
15,Sam Moon,Unknown,Unknown,Unknown
16,Stu Ungar,Las Vegas,NV,USA
17,Jay Heimowitz,Bethel,NY,USA
18,Charles Dunwoody,Unknown,Unknown,Unknown
19,Perry Green,Anchorage,AK,USA
20,Gene Fisher,El Paso,TX,USA
21,Kenny Smith,Dallas,TX,USA
22,Bill Smith,Dallas,TX,USA
23,Andy Moore,Unknown,Unknown,Unknown
24,Sam Petrillo,Unknown,Unknown,Unknown
25,Jack Straus,Houston,TX,USA
26,Dewey Tomko,Haines City,FL,USA
27,Berry Johnston,Bethany,OK,USA
28,A.J. Myers,Unknown,NV,USA
29,Dody Roach,Unknown,TX,USA
30,Buster Jackson,Unknown,NC,USA
31,Carl Cannon,Unknown,Unknown,Unknown
32,Tom McEvoy,Las Vegas,NV,USA
33,Rod Peate,Downey,CA,USA
34,Carl Mckelvey,Houston,TX,USA
35,Robert Geers,Las Vegas,NV,USA
36,Donnacha O'Dea,Dublin,Unknown,IE
37,John Holmes Jenkins III,Austin,TX,USA
38,R.R. Pennington,Unknown,Unknown,USA
39,Jack Keller,Unknown,MS,USA
40,Byron Wolford,Unknown,NV,USA
41,David Chew,Ceritos,CA,USA
42,Rick Hamil,Unknown,NV,USA
43,Curtiss Skinner,Arlington,TX,USA
44,Michael Allen,Unknown,Unknown,USA
45,Howard Andrew,Walnut Creek,CA,USA
46,Rusty Lepage,Mcallen,TX,USA
47,TJ Cloutier,Richardson,TX,USA
48,Scott Mayfield,Grants Pass,OR,USA
49,Hamid Dastmalchi,Unknown,Unknown,IR
50,Mark Rose,Newark,OH,USA
51,John Fallon,Unknown,NH,USA
52,Mike Harthcock,Escondido,CA,USA
53,Gary Berland,Las Vegas,NV,USA
54,Roger Moore,Severna Park,MD,USA
55,Stephen Lott,Goliad,TX,USA
56,Jim Doman,Unknown,NV,USA
57,Thomas Jacobs,Las Vegas,NV,USA
58,Don Williams,Unknown,OH,USA
59,Frank Schend,Solvang,CA,USA
60,Jim Bechtel,Coolidge,AZ,USA
61,Lyle Berman,Las Vegas,NV,USA
62,David Baxter,Unknown,TX,USA
63,Mike Cox,Las Vegas,NV,USA
64,Speedy Myers,Unknown,Unknown,Unknown
65,Billy Thomas,Unknown,NV,USA
66,Ken Lambert,Unknown,Unknown,USA
67,Gabe Kaplan,Brooklyn,NY,USA
68,Ronald Graham,Riverside,CA,USA
69,William Strother,Woodstock,GA,USA
70,Wendeen Eolis,New York,NY,USA
71,Garland Walters,Munfordville,KY,USA
72,Ken Flaton,Unknown,NV,USA
73,Norman Berliner,Unknown,NV,USA
74,Steve Zee,Unknown,Unknown,Unknown
75,Dick Carson,Mansfield,MA,USA
76,Milton Peel,Unknown,Unknown,Unknown
77,Bob Lockhart,Unknown,Unknown,Unknown
78,Artie Cobb,Las Vegas,NV,USA
79,Louis Bonnecaze,Baton Rouge,LA,USA
80,Jim Spain,Tunica,MS,USA
81,Johnny Chan,Cerritos,CA,USA
82,Frank Henderson,Houston,TX,USA
83,Bob Ciaffone,Saginaw,MI,USA
84,Howard Lederer,Las Vegas,NV,USA
85,Dan Harrington,Santa Monica,CA,USA
86,Eldon Elias,Palo Alto,CA,USA
87,Mickey Appleman,Fort Lee,NJ,USA
88,Walter Threadgill,Unknown,Unknown,Unknown
89,Royce Jost,Unknown,Unknown,Unknown
90,Humberto Brenes,San Jose,Unknown,CR
91,Al Ethier,Bellflower,CA,USA
92,Hugh Todd,Cape Town,Unknown,ZA
93,John Bonetti,Houston,TX,USA
94,Mickey Finn,Unknown,Unknown,Unknown
95,James Athanas,St. Louis,MO,USA
96,Al Korson,Albuquerque,NM,USA
97,Scott Lundgren,Unknown,Unknown,Unknown
98,George McKeever,Londonderry,Unknown,GB
99,Owen Bradley,New Orleans,LA,USA
100,Mori Eskandani,Las Vegas,NV,USA
101,Jose Rosenkrantz,San Juan,Unknown,CR
102,Erik Seidel,Henderson,NV,USA
103,Quinton Nixon,Charlotte,TX,USA
104,Jeffrey Rothstein,New York,NY,USA
105,Steve Kopp,Las Vegas,NV,USA
106,Gary Lundgren,Elgin,TX,USA
107,Ralph Morton,Unknown,WA,USA
108,Richard Klamian,Unknown,NV,USA
109,Fred David,Unknown,NV,USA
110,Phil Earle,Houston,TX,USA
111,Junior Whited,Unknown,Unknown,USA
112,David Rubenstein,Unknown,Unknown,Unknown
113,Howard Lipman,Unknown,Unknown,Unknown
114,David Sklansky,Las Vegas,NV,USA
115,John Spadavecchia,Mooresville,NC,USA
116,David Reese,Unknown,NV,USA
117,Phil Hellmuth,Palo Alto,CA,USA
118,Ali Farsai,Beverly Hills,CA,USA
119,Stefan Dios,Unknown,Unknown,Unknown
120,Don Zewin,Las Vegas,NV,USA
121,Noel Furlong,Dublin,Unknown,IE
122,Fernando Fisdel,Unknown,Unknown,CR
123,Mike Picow,Dallas,TX,USA
124,George Hardie,Las Vegas,NV,USA
125,John Esposito,Las Vegas,NV,USA
126,Manning Briggs,Unknown,Unknown,Unknown
127,Carmen Valenti,Unknown,Unknown,Unknown
128,Ivan Trepner,Unknown,Unknown,Unknown
129,Jim Ward,Anchorage,AK,USA
130,An Tran,Las Vegas,NV,USA
131,Hilbert Shirey,Unknown,FL,USA
132,Yosh Nakano,Downey,CA,USA
133,James Ray,Spanish Fort,AL,USA
134,Tommy Grimes,Rockford,IL,USA
135,Jim Pitzer,Unknown,Unknown,Unknown
136,Mansour Matloubi,London,Unknown,GB
137,Hans Lund,Sparks,NV,USA
138,Dave Crunkleton,Las Vegas,NV,USA
139,Al Krux,Feyetteville,NY,USA
140,Pat Callihan,Unknown,NV,USA
141,Joseph Smith,Bozeman,MT,USA
142,Alan Emerson,Phoenix,AZ,USA
143,Jumbo Kaman,Unknown,Unknown,Unknown
144,Mike Alsaadi,Las Vegas,NV,USA
145,Mel Judah,London,Unknown,GB
146,Patrick Fleming,Bement,IL,USA
147,Jim Delaney,Unknown,Unknown,Unknown
148,Floyd Wetch,Unknown,Unknown,Unknown
149,Tom Franklin,Gulfport,MS,USA
150,Ron Fisher,Unknown,Unknown,Unknown
151,Austin Scott,Norman,OK,USA
152,Billy Williford,Unknown,Unknown,Unknown
153,Lew Spitzer,Unknown,Unknown,Unknown
154,Tom Hufnagle,Henderson,NV,USA
155,Thor Hansen,El Segundo,CA,NO
156,Hoyt Corkins,Glenwood,AL,USA
157,Roger van Ausdall,Unknown,Unknown,Unknown
158,Brad Daugherty,Las Vegas,NV,USA
159,Don Holt,Henderson,NV,USA
160,Robert Veltri,Anaheim Hills,CA,USA
161,Danny Hunsucker,Unknown,Unknown,USA
162,Robert Turner,Downey,CA,USA
163,ONeil Longson,Unknown,NV,USA
164,Brent Carter,Oak Park,IL,USA
165,Don Bloomberg,Unknown,Unknown,Unknown
166,Jason Lester,Aventura,FL,USA
167,Rene Vernhet,Unknown,Unknown,Unknown
168,Mike Sexton,Las Vegas,NV,USA
169,Jeffrey Burdsall,Sarasota,NV,USA
170,Rich Korbin,Unknown,Unknown,CA
171,Mark Ervin,Unknown,Unknown,Unknown
172,Monte Kouz,Unknown,NV,USA
173,Bill Stewart,Dallas,TX,USA
174,Gary Martin,Yakima,WA,USA
175,Allen Baker,Houston,TX,USA
176,Clyde Coleman,Marlow,OK,USA
177,Christopher Goulding,Los Angeles,CA,USA
178,Bill Rothstein,New York,NY,USA
179,Harry Thomas Jr.,Hamilton,OH,USA
180,Todd Brunson,Las Vegas,NV,USA
181,Pat Rao,Unknown,Unknown,Unknown
182,John Heaney,Unknown,NJ,USA
183,Surindar Sunar,Wolverhampton,Unknown,GB
184,Telly Savalas,Unknown,Unknown,Unknown
185,Barry Greenstein,Rancho Palos Verdes,CA,USA
186,Chris Bjorin,Stockholm,Unknown,SE
187,Greg Meyer,Unknown,Unknown,Unknown
188,Josef Monro,Beverly Hills,MI,USA
189,David Rubin,Henderson,NV,USA
190,Ron Stanley,Unknown,NV,USA
191,Danny Yu,Unknown,Unknown,Unknown
192,Jack Green,Unknown,Unknown,Unknown
