event_id,year,entries,prizepool,buyin,start,finish
1,1971,6,30000,5000,1971-05-10,1971-05-15
2,1972,8,80000,10000,1972-05-11,1972-05-16
3,1973,13,130000,10000,1973-05-10,1973-05-15
4,1974,16,160000,10000,1974-05-11,1974-05-11
5,1975,21,210000,10000,1975-05-10,1975-05-15
6,1976,22,220000,10000,1976-05-10,1976-05-10
7,1977,34,340000,10000,1977-05-10,1977-05-10
8,1978,42,420000,10000,1978-05-17,1978-05-22
9,1979,54,540000,10000,1979-05-22,1979-05-22
10,1980,73,730000,10000,1980-05-17,1980-05-17
11,1981,75,750000,10000,1981-05-19,1981-05-24
12,1982,104,1040000,10000,1982-05-22,1982-05-27
13,1983,108,1080000,10000,1983-05-16,1983-05-16
14,1984,132,1320000,10000,1984-05-14,1984-05-19
15,1985,140,1400000,10000,1985-05-17,1985-05-17
16,1986,141,1410000,10000,1986-05-21,1986-05-23
17,1987,152,1520000,10000,1987-05-12,1987-05-17
18,1988,167,1670000,10000,1988-05-16,1988-05-16
19,1989,178,1795100,10000,1989-05-14,1989-05-19
20,1990,194,1940000,10000,1990-05-14,1990-05-14
21,1991,215,2150000,10000,1991-05-13,1991-05-13
22,1992,201,2010000,10000,1992-05-11,1992-05-16
23,1993,231,2308000,10000,1993-05-10,1993-05-10
24,1994,268,2680000,10000,1994-05-06,1994-05-06
25,1995,273,2730000,10000,1995-05-19,1995-05-24
26,1996,295,2950000,10000,1996-05-14,1996-05-14
27,1997,312,3120000,10000,1997-05-10,1997-05-10
28,1998,350,3500000,10000,1998-05-11,1998-05-15
29,1999,393,3930000,10000,1999-05-10,1999-05-15
30,2000,512,5120000,10000,2000-05-18,2000-05-23
31,2001,613,6130000,10000,2001-05-14,2001-05-19
32,2002,631,6310000,10000,2002-05-20,2002-05-25
33,2003,839,7802700,10000,2003-05-19,2003-05-23
34,2004,2576,24224400,10000,2004-05-22,2004-05-28
35,2005,5619,52818610,10000,2005-07-07,2005-07-15
36,2006,8773,82512162,10000,2006-07-28,2006-08-10
37,2007,6358,59784954,10000,2007-07-06,2007-07-17
38,2008,6844,64431779,10000,2008-07-03,2008-07-14
39,2009,6494,61044921,10000,2009-07-03,2009-07-15
40,2010,7319,68799059,10000,2010-07-05,2010-11-09
41,2011,6865,64540858,10000,2011-07-07,2011-07-19
42,2012,6598,62031385,10000,2012-07-07,2012-10-31
43,2013,6352,59714169,10000,2013-07-06,2013-11-05
44,2014,6683,62825752,10000,2014-07-05,2014-11-12
45,2015,6420,60355858,10000,2015-07-08,2015-11-10
46,2016,6737,63340268,10000,2016-07-09,2016-11-03
47,2017,7221,67877400,10000,2017-07-08,2017-07-23
48,2018,7874,74015600,10000,2018-07-02,2018-07-14
49,2019,8569,80548604,10000,2019-07-03,2019-07-16
50,2021,6650,62011250,10000,2021-11-04,2021-11-04
51,2022,8663,80782475,10000,2022-07-03,2022-07-03
52,2023,10043,93399900,10000,2023-07-03,2023-07-03
53,2024,10112,94041600,10000,2024-07-03,2024-07-12
54,2025,9735,90535500,10000,2025-07-09,2025-07-16
